Id;Name;Preis;Kategorie;Bestand
1;Laptop Pro 15;1299.99;Elektronik;25
2;Kabellose Maus;29.99;Elektronik;150
3;Mechanische Tastatur;89.90;Elektronik;60
4;Bürostuhl Komfort;199.00;Möbel;40
5;Schreibtisch Eiche;349.50;Möbel;20
6;Kaffeetasse;4.99;Haushalt;500
7;LED Schreibtischlampe;24.95;Beleuchtung;85
8;Notizbuch A5;3.49;Bürobedarf;300
9;USB-C Ladekabel;9.99;Zubehör;200
10;Wasserflasche Edelstahl;19.95;Haushalt;120
11;Monitor 27 Zoll;279.00;Elektronik;35
12;HDMI Kabel 2m;12.49;Zubehör;180
13;Bluetooth Kopfhörer;59.99;Elektronik;90
14;Smartphone Ständer;14.95;Zubehör;140
15;Aktenordner A4;2.99;Bürobedarf;400
16;Drucker Tintenstrahl;149.00;Elektronik;30
17;Toner Schwarz;49.90;Bürobedarf;75
18;Schreibtischunterlage;11.95;Bürobedarf;160
19;Rollcontainer Büro;129.00;Möbel;25
20;Whiteboard 90x60;39.99;Bürobedarf;50
21;LED Stehlampe;79.00;Beleuchtung;45
22;Küchenmesser Set;59.95;Haushalt;70
23;Toaster Edelstahl;34.99;Haushalt;65
24;Externe Festplatte 1TB;89.99;Elektronik;55
25;USB-Hub 4-Port;17.95;Zubehör;110
26;Webcam Full HD;69.00;Elektronik;40
27;Mauspad XXL;9.49;Zubehör;220
28;Papier A4 500 Blatt;6.99;Bürobedarf;350
29;Heftgerät Metall;12.99;Bürobedarf;95
30;Locher Standard;8.49;Bürobedarf;130
31;Regal Würfel;59.00;Möbel;30
32;Steckdosenleiste 6-fach;14.99;Elektronik;160
33;Tischventilator;24.90;Haushalt;80
34;Laptop Rucksack;49.95;Zubehör;70
35;Smartphone Ladegerät;19.99;Elektronik;150
36;Kabelbinder Set;5.99;Zubehör;300
37;Monitorständer;34.50;Zubehör;60
38;LED Glühbirne E27;4.49;Beleuchtung;500
39;Schreibtisch Organizer;16.95;Bürobedarf;120
40;Kaffeemaschine Filter;79.99;Haushalt;45
41;Mikrowelle 20L;119.00;Haushalt;35
42;Bluetooth Lautsprecher;39.95;Elektronik;85
43;Fensterlampe LED;29.99;Beleuchtung;55
44;Briefablage Kunststoff;7.99;Bürobedarf;200
45;Netzwerkkabel 5m;8.95;Zubehör;180
46;Gaming Maus;49.99;Elektronik;65
47;Sitzkissen Ergonomisch;24.95;Möbel;90
48;Thermobecher;14.49;Haushalt;110
49;Taschenrechner Büro;19.90;Bürobedarf;75
50;Dockingstation USB-C;129.99;Elektronik;28
